Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Primo WB booking,Chrome 61.0.3163.98,,2017-10-27 13:22:26,2017-10-27 13:25:17,"2m - 50,906s",FAILED
,,,,,,
Test Cases/WB Primo,Chrome 61.0.3163.98,,2017-10-27 13:22:27,2017-10-27 13:25:13,"2m - 46,072s",FAILED
openBrowser,Chrome 61.0.3163.98,,2017-10-27 13:22:28,2017-10-27 13:23:02,"33,914s",PASSED
maximizeWindow,Chrome 61.0.3163.98,,2017-10-27 13:23:02,2017-10-27 13:23:03,"1,263s",PASSED
navigateToUrl,Chrome 61.0.3163.98,,2017-10-27 13:23:03,2017-10-27 13:23:10,"7,047s",PASSED
setText,Chrome 61.0.3163.98,,2017-10-27 13:23:10,2017-10-27 13:23:12,"1,903s",PASSED
setText,Chrome 61.0.3163.98,,2017-10-27 13:23:12,2017-10-27 13:23:15,"3,559s",PASSED
setText,Chrome 61.0.3163.98,,2017-10-27 13:23:15,2017-10-27 13:23:18,"2,693s",PASSED
setText,Chrome 61.0.3163.98,,2017-10-27 13:23:18,2017-10-27 13:23:20,"1,812s",PASSED
setText,Chrome 61.0.3163.98,,2017-10-27 13:23:20,2017-10-27 13:23:23,"3,664s",PASSED
setText,Chrome 61.0.3163.98,,2017-10-27 13:23:23,2017-10-27 13:23:26,"2,202s",PASSED
setText,Chrome 61.0.3163.98,,2017-10-27 13:23:26,2017-10-27 13:23:29,"3,561s",PASSED
setText,Chrome 61.0.3163.98,,2017-10-27 13:23:29,2017-10-27 13:23:33,"3,507s",PASSED
scrollToElement,Chrome 61.0.3163.98,,2017-10-27 13:23:33,2017-10-27 13:23:33,"0,273s",PASSED
waitForElementClickable,Chrome 61.0.3163.98,,2017-10-27 13:23:33,2017-10-27 13:23:34,"0,528s",PASSED
waitForElementVisible,Chrome 61.0.3163.98,,2017-10-27 13:23:34,2017-10-27 13:23:34,"0,486s",PASSED
click,Chrome 61.0.3163.98,,2017-10-27 13:23:34,2017-10-27 13:23:35,"0,686s",PASSED
waitForElementPresent,Chrome 61.0.3163.98,,2017-10-27 13:23:35,2017-10-27 13:23:59,"24,114s",PASSED
click,Chrome 61.0.3163.98,,2017-10-27 13:23:59,2017-10-27 13:25:13,"1m - 14,135s",FAILED
