Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
WB Primo From Excel URLs,Chrome 62.0.3202.94,,2017-11-28 18:56:35,2017-11-28 19:03:16,"6m - 40,628s",FAILED
,,,,,,
Test Cases/PrimoTours/WB Primo/WB Primo staging - place booking - Iteration 1,Chrome 62.0.3202.94,"Purpose of the test:\n- place bookings with no payment (no LMS) in various scenarios\n\t- pax distribution in room\n\t- multiple room numbers in booking\n\t- multiple room types in booking\n\t- various price types: normal, discount\n\t- various period durations I1, I2",2017-11-28 18:56:36,2017-11-28 18:57:21,"45,483s",PASSED
openBrowser,Chrome 62.0.3202.94,,2017-11-28 18:56:38,2017-11-28 18:56:41,"3,594s",PASSED
maximizeWindow,Chrome 62.0.3202.94,,2017-11-28 18:56:41,2017-11-28 18:56:42,"1,293s",PASSED
navigateToUrl,Chrome 62.0.3202.94,,2017-11-28 18:56:42,2017-11-28 18:56:45,"2,345s",PASSED
setText,Chrome 62.0.3202.94,,2017-11-28 18:56:45,2017-11-28 18:56:46,"0,754s",PASSED
setText,Chrome 62.0.3202.94,,2017-11-28 18:56:46,2017-11-28 18:56:46,"0,708s",PASSED
setText,Chrome 62.0.3202.94,,2017-11-28 18:56:46,2017-11-28 18:56:47,"0,606s",PASSED
setText,Chrome 62.0.3202.94,,2017-11-28 18:56:47,2017-11-28 18:56:47,"0,352s",PASSED
setText,Chrome 62.0.3202.94,,2017-11-28 18:56:47,2017-11-28 18:56:48,"0,822s",PASSED
setText,Chrome 62.0.3202.94,,2017-11-28 18:56:48,2017-11-28 18:56:49,"0,662s",PASSED
"Statement - excelInfo = [""fname"":"""", ""lname"":"""", ""pgender"":"""", ""pday"":"""", ""pmonth"":"""", ""pyear"":""""]",Chrome 62.0.3202.94,,2017-11-28 18:56:49,2017-11-28 18:56:49,"0,001s",PASSED
"Statement - rawData = com.kms.katalon.core.testdata.TestDataFactory.findTestData(""Data Files/WB_Primo/Passenger_details"")",Chrome 62.0.3202.94,,2017-11-28 18:56:49,2017-11-28 18:56:49,"0,595s",PASSED
Statement - excelRowNo = rawData.getRowNumbers(),Chrome 62.0.3202.94,,2017-11-28 18:56:49,2017-11-28 18:56:49,"0,018s",PASSED
Statement - randomPaxIndex = 1,Chrome 62.0.3202.94,,2017-11-28 18:56:49,2017-11-28 18:56:49,"0,001s",PASSED
waitForElementClickable,Chrome 62.0.3202.94,,2017-11-28 18:56:49,2017-11-28 18:56:49,"0,102s",PASSED
Statement - driver = com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(),Chrome 62.0.3202.94,,2017-11-28 18:56:49,2017-11-28 18:56:49,"0,009s",PASSED
"Statement - roomContainerXpath = ""id(""booking"")/div[@class=""wrapper second-bg""]/div[contains(@class,""container-mx"")]/div[@class=""row""]/div[@class=""col-md-12 roomContainer""]""",Chrome 62.0.3202.94,,2017-11-28 18:56:49,2017-11-28 18:56:49,"0,000s",PASSED
Statement - roomsCount = driver.findElements(org.openqa.selenium.By.xpath(roomContainerXpath)).size(),Chrome 62.0.3202.94,,2017-11-28 18:56:49,2017-11-28 18:56:49,"0,062s",PASSED
"Statement - println(""roomsCount="" + roomsCount)",Chrome 62.0.3202.94,,2017-11-28 18:56:49,2017-11-28 18:56:49,"0,003s",PASSED
"Statement - For ([i = 1, i <= roomsCount, (i++)])",Chrome 62.0.3202.94,,2017-11-28 18:56:49,2017-11-28 18:56:50,"0,765s",PASSED
scrollToElement,Chrome 62.0.3202.94,,2017-11-28 18:56:50,2017-11-28 18:56:50,"0,071s",PASSED
click,Chrome 62.0.3202.94,"Done so that click on \""Next\"" button is possible for Mobile env.\r\nClick on total so Keyboard area gets closed.",2017-11-28 18:56:50,2017-11-28 18:56:50,"0,130s",PASSED
scrollToElement,Chrome 62.0.3202.94,,2017-11-28 18:56:50,2017-11-28 18:56:51,"0,066s",PASSED
waitForElementClickable,Chrome 62.0.3202.94,,2017-11-28 18:56:51,2017-11-28 18:56:51,"0,063s",PASSED
waitForElementVisible,Chrome 62.0.3202.94,,2017-11-28 18:56:51,2017-11-28 18:56:51,"0,104s",PASSED
scrollToElement,Chrome 62.0.3202.94,,2017-11-28 18:56:51,2017-11-28 18:56:51,"0,048s",PASSED
click,Chrome 62.0.3202.94,,2017-11-28 18:56:51,2017-11-28 18:56:51,"0,178s",PASSED
delay,Chrome 62.0.3202.94,,2017-11-28 18:56:51,2017-11-28 18:56:52,"1,028s",PASSED
waitForElementNotVisible,Chrome 62.0.3202.94,Wait for page loader to dissapear before making verifications,2017-11-28 18:56:52,2017-11-28 18:56:52,"0,477s",PASSED
scrollToElement,Chrome 62.0.3202.94,,2017-11-28 18:56:52,2017-11-28 18:56:53,"0,192s",PASSED
waitForElementPresent,Chrome 62.0.3202.94,,2017-11-28 18:56:53,2017-11-28 18:56:53,"0,331s",PASSED
waitForElementVisible,Chrome 62.0.3202.94,,2017-11-28 18:56:53,2017-11-28 18:56:53,"0,327s",PASSED
waitForElementClickable,Chrome 62.0.3202.94,,2017-11-28 18:56:53,2017-11-28 18:56:53,"0,238s",PASSED
click,Chrome 62.0.3202.94,,2017-11-28 18:56:53,2017-11-28 18:56:54,"0,273s",PASSED
click,Chrome 62.0.3202.94,Select default travel insurance\r\n,2017-11-28 18:56:54,2017-11-28 18:56:54,"0,277s",PASSED
click,Chrome 62.0.3202.94,Click on individual pax insurance selection checkbox,2017-11-28 18:56:54,2017-11-28 18:56:54,"0,004s",NOT_RUN
scrollToElement,Chrome 62.0.3202.94,,2017-11-28 18:56:54,2017-11-28 18:56:54,"0,001s",NOT_RUN
